"id","district_nut","fullname","shortname","zip","use"
"1","SK0326","Ábelová","Ábelová","985 13","1"
"2","SK0329","Abovce","Abovce","980 44","1"
"3","SK0212","Abrahám","Abrahám","925 45","1"
"4","SK0413","Abrahámovce","Abrahámovce","059 72","1"
"5","SK0411","Abrahámovce","Abrahámovce","086 41","1"
"6","SK0319","Abramová","Abramová","038 22","1"
"7","SK0417","Abranovce","Abranovce","082 52","1"
"8","SK0229","Adamovské Kochanovce","Adamovské Kochanovce","913 05","1"
"9","SK0412","Adidovce","Adidovce","067 32","1"
"10","SK042B","Albínov","Albínov","078 01","1"
"11","SK0233","Alekšince","Alekšince","951 22","1"
"12","SK0233","Alexandrov Dvor","Alexandrov Dvor","951 34","1"
"13","SK0108","Alžbetin Dvor","Alžbetin Dvor","900 42","1"
"14","SK0211","Amadeho Kračany","Amadeho Kračany","930 03","1"
"15","SK0231","Aňala","Aňala","946 51","1"
"16","SK0231","Aňalské Záhrady","Aňalské Záhrady","946 51","1"
"17","SK0233","Andač","Andač","951 42","1"
"18","SK0315","Andice","Andice","031 01","1"
"19","SK0234","Andovce","Andovce","941 23","1"
"20","SK0411","Andrejová","Andrejová","086 37","1"
"21","SK041A","Andrejovka","Andrejovka","065 43","1"
"22","SK0234","Arad","Arad","943 42","1"
"23","SK0236","Ardanovce","Ardanovce","956 06","1"
"24","SK0428","Ardovo","Ardovo","049 55","1"
"25","SK0232","Arma","Arma","935 41","1"
"26","SK042A","Arnutovce","Arnutovce","053 13","1"
"27","SK0233","Báb","Báb","951 34","1"
"28","SK041D","Babie","Babie","094 31","1"
"29","SK0317","Babín","Babín","029 52","1"
"30","SK0417","Babin Potok","Babin Potok","082 67","1"
"31","SK032B","Babiná","Babiná","962 61","1"
"32","SK0233","Babindol","Babindol","951 53","1"
"33","SK0329","Babinec","Babinec","980 26","1"
"34","SK0311","Babiše","Babiše","013 54","1"
"35","SK031B","Babkov","Babkov","013 11","1"
"36","SK0223","Babulicov Vrch","Babulicov Vrch","916 13","1"
"37","SK0323","Bacúch","Bacúch","976 64","1"
"38","SK032B","Bacúrov","Bacúrov","962 61","1"
"39","SK0211","Báč","Báč","930 30","1"
"40","SK0233","Bačala","Bačala","951 15","1"
"41","SK042B","Bačka","Bačka","076 84","1"
"42","SK042B","Bačkov","Bačkov","076 61","1"
"43","SK0426","Bačkovík","Bačkovík","044 45","1"
"44","SK0325","Báčovce","Báčovce","962 68","1"
"45","SK0322","Baďan","Baďan","969 01","1"
"46","SK0233","Bádice","Bádice","951 46","1"
"47","SK0321","Badín","Badín","976 32","1"
"48","SK0107","Báhoň","Báhoň","900 84","1"
"49","SK0427","Bajany","Bajany","072 54","1"
"50","SK0231","Bajč","Bajč","946 54","1"
"51","SK0417","Bajerov","Bajerov","082 41","1"
"52","SK0418","Bajerovce","Bajerovce","082 73","1"
"53","SK0232","Bajka","Bajka","935 51","1"
"54","SK0234","Bajtava","Bajtava","943 65","1"
"55","SK0211","Baka","Baka","930 04","1"
"56","SK0329","Bakta","Bakta","979 01","1"
"57","SK0321","Baláže","Baláže","976 11","1"
"58","SK0414","Baldovce","Baldovce","053 04","1"
"59","SK032A","Balog nad Ipľom","Balog nad Ipľom","991 11","1"
"60","SK0211","Baloň","Baloň","930 08","1"
"61","SK0231","Balvany","Balvany","946 01","1"
"62","SK041B","Baňa","Baňa","091 01","1"
"63","SK0426","Baňa Lucia","Baňa Lucia","044 25","1"
"64","SK0214","Banka","Banka","921 01","1"
"65","SK0322","Banky","Banky","969 01","1"
"66","SK0227","Banky","Banky","972 25","1"
"67","SK0234","Bánov","Bánov","941 01","1"
"68","SK031B","Bánová","Bánová","010 04","1"
"69","SK0221","Bánovce nad Bebravou","Bánovce nad Bebravou",,"1"
"70","SK0427","Bánovce nad Ondavou","Bánovce nad Ondavou","072 04","1"
"71","SK0227","Banská","Banská","972 48","1"
"72","SK0322","Banská Belá","Banská Belá","966 15","1"
"73","SK0321","Banská Bystrica","Banská Bystrica",,"1"
"74","SK032C","Banská Hodruša","Banská Hodruša","966 63","1"
"75","SK0322","Banská Štiavnica","Banská Štiavnica",,"1"
"76","SK041D","Banské","Banské","094 12","1"
"77","SK0322","Banský Studenec","Banský Studenec","969 01","1"
"78","SK042B","Bara","Bara","076 32","1"
"79","SK0329","Barca","Barca","982 51","1"
"80","SK0411","Bardejov","Bardejov","085 01","1"
"81","SK0411","Bardejovská Nová Ves","Bardejovská Nová Ves","085 01","1"
"82","SK0411","Bardejovská Zábava","Bardejovská Zábava","085 01","1"
"83","SK0411","Bardejovské Kúpele","Bardejovské Kúpele","086 31","1"
"84","SK0234","Bardoňovo","Bardoňovo","941 49","1"
"85","SK032D","Bartošova Lehôtka","Bartošova Lehôtka","967 01","1"
"86","SK0411","Bartošovce","Bartošovce","086 42","1"
"87","SK0426","Baška","Baška","040 16","1"
"88","SK0412","Baškovce","Baškovce","067 23","1"
"89","SK0429","Baškovce","Baškovce","073 01","1"
"90","SK0214","Bašovce","Bašovce","922 01","1"
"91","SK0225","Baštín","Baštín","956 18","1"
"92","SK0416","Batizovce","Batizovce","059 35","1"
"93","SK0329","Bátka","Bátka","980 21","1"
"94","SK032A","Bátorová","Bátorová","991 26","1"
"95","SK0231","Bátorove Kosihy","Bátorove Kosihy","946 34","1"
"96","SK0232","Bátovce","Bátovce","935 03","1"
"97","SK0224","Beckov","Beckov","916 38","1"
"98","SK0224","Beckovská Vieska","Beckovská Vieska","916 31","1"
"99","SK0321","Bečov","Bečov","974 01","1"
"100","SK0414","Beharovce","Beharovce","053 05","1"
"101","SK0236","Behynce","Behynce","956 07","1"
"102","SK0328","Behynce","Behynce","982 01","1"
"103","SK0411","Becherov","Becherov","086 35","1"
"104","SK0211","Beketfa","Beketfa","930 34","1"
"105","SK031B","Belá","Belá","013 05","1"
"106","SK0234","Belá","Belá","943 53","1"
"107","SK0316","Belá - Dulice","Belá - Dulice","038 11","1"
"108","SK0419","Belá nad Cirochou","Belá nad Cirochou","067 81","1"
"109","SK0237","Beladice","Beladice","951 75","1"
"110","SK0226","Belejov","Belejov","018 03","1"
"111","SK041C","Belejovce","Belejovce","089 01","1"
"112","SK0234","Belek","Belek","941 48","1"
"113","SK0329","Belín","Belín","980 01","1"
"114","SK0326","Belina","Belina","986 01","1"
"115","SK0236","Belince","Belince","956 12","1"
"116","SK0211","Bellova Ves","Bellova Ves","930 52","1"
"117","SK0411","Beloveža","Beloveža","086 14","1"
"118","SK0322","Beluj","Beluj","969 01","1"
"119","SK0228","Beluša","Beluša","018 61","1"
"120","SK0426","Belža","Belža","044 58","1"
"121","SK0315","Beňadiková","Beňadiková","032 04","1"
"122","SK041C","Beňadikovce","Beňadikovce","090 42","1"
"123","SK0317","Beňadovo","Beňadovo","029 63","1"
"124","SK0429","Beňatina","Beňatina","072 64","1"
"125","SK0426","Beniakovce","Beniakovce","044 42","1"
"126","SK0315","Benice","Benice","031 01","1"
"127","SK0316","Benice","Benice","038 42","1"
"128","SK0211","Benkova Potôň","Benkova Potôň","930 36","1"
"129","SK041D","Benkovce","Benkovce","094 02","1"
"130","SK0311","Beňov","Beňov","014 01","1"
"131","SK0313","Beňova Lehota","Beňova Lehota","026 01","1"
"132","SK0323","Beňuš","Beňuš","976 64","1"
"133","SK0315","Beňušovce","Beňušovce","031 01","1"
"134","SK0426","Bernátovce","Bernátovce","044 13","1"
"135","SK0108","Bernolákovo","Bernolákovo","900 27","1"
"136","SK0417","Bertotovce","Bertotovce","082 35","1"
"137","SK0226","Besné","Besné","018 02","1"
"138","SK0427","Beša","Beša","076 72","1"
"139","SK0232","Beša","Beša","935 36","1"
"140","SK0234","Bešeňov","Bešeňov","941 41","1"
"141","SK0318","Bešeňová","Bešeňová","034 83","1"
"142","SK042A","Betlanovce","Betlanovce","053 15","1"
"143","SK0427","Betlenovce","Betlenovce","071 01","1"
"144","SK0428","Betliar","Betliar","049 21","1"
"145","SK0228","Bezdedov - Vieska","Bezdedov - Vieska","020 01","1"
"146","SK0429","Bežovce","Bežovce","072 53","1"
"147","SK0426","Bidovce","Bidovce","044 45","1"
"148","SK042B","Biel","Biel","076 41","1"
"149","SK0313","Biela","Biela","027 05","1"
"150","SK0227","Biela Voda","Biela Voda","972 29","1"
"151","SK042A","Biele Vody","Biele Vody","053 76","1"
"152","SK0323","Biele Vody","Biele Vody","976 53","1"
"153","SK0232","Bielovce","Bielovce","935 74","1"
"154","SK0217","Biely Kostol","Biely Kostol","919 34","1"
"155","SK0318","Biely Potok","Biely Potok","034 03","1"
"156","SK0414","Bijacovce","Bijacovce","053 06","1"
"157","SK0215","Bílkove Humence","Bílkove Humence","908 77","1"
"158","SK0234","Bíňa","Bíňa","943 56","1"
"159","SK042A","Bindt","Bindt","053 32","1"
"160","SK0217","Bíňovce","Bíňovce","919 07","1"
"161","SK0229","Biskupice","Biskupice","911 01","1"
"162","SK0221","Biskupice","Biskupice","957 01","1"
"163","SK0326","Biskupice","Biskupice","986 01","1"
"164","SK0236","Biskupová","Biskupová","956 07","1"
"165","SK031B","Bitarová","Bitarová","010 04","1"
"166","SK0211","Blahová","Blahová","930 52","1"
"167","SK0211","Blatná na Ostrove","Blatná na Ostrove","930 32","1"
"168","SK0429","Blatná Polianka","Blatná Polianka","072 44","1"
"169","SK0108","Blatné","Blatné","900 82","1"
"170","SK0429","Blatné Remety","Blatné Remety","072 44","1"
"171","SK0429","Blatné Revištia","Blatné Revištia","072 43","1"
"172","SK0316","Blatnica","Blatnica","038 15","1"
"173","SK0426","Blažice","Blažice","044 16","1"
"174","SK0312","Blažkov","Blažkov","023 02","1"
"175","SK0312","Blažková","Blažková","023 11","1"
"176","SK0319","Blažovce","Blažovce","038 44","1"
"177","SK0236","Blesovce","Blesovce","956 01","1"
"178","SK0329","Blhovce","Blhovce","980 32","1"
"179","SK0229","Bobot","Bobot","913 25","1"
"180","SK0229","Bobotská Lehota","Bobotská Lehota","913 25","1"
"181","SK0317","Bobrov","Bobrov","029 42","1"
"182","SK0315","Bobrovček","Bobrovček","032 21","1"
"183","SK0315","Bobrovec","Bobrovec","032 21","1"
"184","SK0315","Bobrovník","Bobrovník","032 23","1"
"185","SK0426","Bočiar","Bočiar","044 57","1"
"186","SK0315","Bodice","Bodice","031 01","1"
"187","SK0211","Bodíky","Bodíky","930 31","1"
"188","SK0226","Bodiná","Bodiná","018 15","1"
"189","SK0236","Bodok","Bodok","956 08","1"
"190","SK0319","Bodorová","Bodorová","038 45","1"
"191","SK0108","Bodov","Bodov","903 01","1"
"192","SK0418","Bodovce","Bodovce","082 66","1"
"193","SK0229","Bodovka - Krivosúd","Bodovka - Krivosúd","913 11","1"
"194","SK041C","Bodružal","Bodružal","090 05","1"
"195","SK0231","Bodza","Bodza","946 16","1"
"196","SK0231","Bodzianske Lúky","Bodzianske Lúky","946 14","1"
"197","SK0411","Bogliarka","Bogliarka","086 04","1"
"198","SK0231","Bohatá","Bohatá","947 03","1"
"199","SK0426","Bohdanovce","Bohdanovce","044 16","1"
"200","SK0217","Bohdanovce nad Trnavou","Bohdanovce n/Trnavou","919 09","1"
"201","SK0211","Boheľov","Boheľov","929 01","1"
"202","SK0222","Bohunice","Bohunice","018 52","1"
"203","SK0217","Bohunice","Bohunice","919 30","1"
"204","SK0232","Bohunice","Bohunice","935 05","1"
"205","SK0428","Bohúňovo","Bohúňovo","049 12","1"
"206","SK0236","Bojná","Bojná","956 01","1"
"207","SK0227","Bojnice","Bojnice","972 01","1"
"208","SK0227","Bojnice - kúpele","Bojnice - kúpele","972 01","1"
"209","SK0213","Bojničky","Bojničky","920 55","1"
"210","SK0231","Bokroš","Bokroš","946 39","1"
"211","SK041B","Bokša","Bokša","091 01","1"
"212","SK042B","Boľ","Boľ","076 53","1"
"213","SK0108","Boldog","Boldog","925 26","1"
"214","SK0217","Boleráz","Boleráz","919 08","1"
"215","SK0222","Bolešov","Bolešov","018 53","1"
"216","SK0426","Boliarov","Boliarov","044 47","1"
"217","SK0326","Boľkovce","Boľkovce","984 01","1"
"218","SK0319","Borcová","Borcová","038 44","1"
"219","SK0221","Borčany","Borčany","956 36","1"
"220","SK0222","Borčice","Borčice","018 53","1"
"221","SK0426","Borda","Borda","044 45","1"
"222","SK0106","Borinka","Borinka","900 32","1"
"223","SK0415","Borov","Borov","068 01","1"
"224","SK0217","Borová","Borová","919 61","1"
"225","SK0214","Borovce","Borovce","922 09","1"
"226","SK0215","Borský Mikuláš","Borský Mikuláš","908 77","1"
"227","SK0215","Borský Peter","Borský Peter","908 77","1"
"228","SK0215","Borský Svätý Jur","Borský Svätý Jur","908 79","1"
"229","SK042B","Borša","Borša","076 32","1"
"230","SK0232","Bory","Bory","935 87","1"
"231","SK0224","Bošáca","Bošáca","913 07","1"
"232","SK0225","Bošany","Bošany","956 18","1"
"233","SK0229","Bošianska Neporadza","Bošianska Neporadza","913 26","1"
"234","SK042B","Boťany","Boťany","076 43","1"
"235","SK0329","Bottovo","Bottovo","980 41","1"
"236","SK042B","Božčice","Božčice","076 62","1"
"237","SK0428","Bôrka","Bôrka","049 42","1"
"238","SK0427","Bracovce","Bracovce","072 05","1"
"239","SK0329","Brádno","Brádno","982 67","1"
"240","SK0233","Branč","Branč","951 13","1"
"241","SK0234","Branovo","Branovo","941 31","1"
"242","SK0101","Bratislava","Bratislava",,"1"
"243","SK0105","Bratislava - Čunovo","Čunovo","851 10","1"
"244","SK0104","Bratislava - Devín","Devín","841 10","1"
"245","SK0104","Bratislava - Devínska Nová Ves","Devínska Nová Ves",,"1"
"246","SK0104","Bratislava - Dúbravka","Dúbravka",,"1"
"247","SK0105","Bratislava - Jarovce","Jarovce","851 10","1"
"248","SK0104","Bratislava - Karlova Ves","Karlova Ves",,"1"
"249","SK0104","Bratislava - Lamač","Lamač","841 03","1"
"250","SK0103","Bratislava - Nové Mesto","Nové Mesto",,"1"
"251","SK0105","Bratislava - Petržalka","Petržalka",,"1"
"252","SK0102","Bratislava - Podunajské Biskupice","Podunajské Biskupice","821 06","1"
"253","SK0103","Bratislava - Rača","Rača",,"1"
"254","SK0105","Bratislava - Rusovce","Rusovce","851 10","1"
"255","SK0102","Bratislava - Ružinov","Ružinov",,"1"
"256","SK0101","Bratislava - Staré Mesto","Staré Mesto",,"1"
"257","SK0103","Bratislava - Vajnory","Vajnory","831 07","1"
"258","SK0102","Bratislava - Vrakuňa","Vrakuňa","821 07","1"
"259","SK0104","Bratislava - Záhorská Bystrica","Záhorská Bystrica","841 06","1"
"260","SK0324","Bratkovica","Bratkovica","962 05","1"
"261","SK0323","Braväcovo","Braväcovo","976 64","1"
"262","SK0428","Brdárka","Brdárka","049 34","1"
"263","SK042B","Brehov","Brehov","076 05","1"
"264","SK032C","Brehy","Brehy","968 01","1"
"265","SK0412","Brekov","Brekov","066 01","1"
"266","SK0326","Brestina","Brestina","985 53","1"
"267","SK0412","Brestov","Brestov","066 01","1"
"268","SK0417","Brestov","Brestov","082 05","1"
"269","SK0415","Brestov nad Laborcom","Brestov nad Laborcom","067 01","1"
"270","SK0217","Brestovany","Brestovany","919 27","1"
"271","SK0224","Brestové","Brestové","916 42","1"
"272","SK0223","Brestovec","Brestovec","907 01","1"
"273","SK0231","Brestovec","Brestovec","946 17","1"
"274","SK0417","Bretejovce","Bretejovce","082 03","1"
"275","SK0428","Bretka","Bretka","980 46","1"
"276","SK0317","Breza","Breza","029 53","1"
"277","SK031B","Brezany","Brezany","010 04","1"
"278","SK0227","Brezany","Brezany","972 12","1"
"279","SK042B","Brezina","Brezina","076 12","1"
"280","SK032B","Breziny","Breziny","962 61","1"
"281","SK041B","Breznica","Breznica","091 01","1"
"282","SK041B","Breznička","Breznička","091 01","1"
"283","SK0327","Breznička","Breznička","985 02","1"
"284","SK0323","Brezno","Brezno",,"1"
"285","SK0221","Brezolupy","Brezolupy","957 01","1"
"286","SK0411","Brezov","Brezov","087 01","1"
"287","SK0223","Brezová pod Bradlom","Brezová pod Bradlom","906 13","1"
"288","SK0419","Brezovec","Brezovec","067 73","1"
"289","SK031A","Brezovica","Brezovica","028 01","1"
"290","SK0418","Brezovica","Brezovica","082 74","1"
"291","SK0418","Brezovička","Brezovička","082 74","1"
"292","SK0411","Brezovka","Brezovka","086 11","1"
"293","SK0417","Brežany","Brežany","082 41","1"
"294","SK0232","Brhlovce","Brhlovce","935 02","1"
"295","SK0226","Briestenné","Briestenné","018 22","1"
